file_id,ground_truth,transcript,duration,latency,rtf,model,wer,cer
636,Cũng chia sẻ thật là tôi cũng có một đứa cháu ruột Hiện tại cũng đang học cùng lớp với con gái của tôi Nhưng bạn cháu ruột của tôi thì có học lực nó chỉ ở mức độ trung bình thôi.,Cùng chia sẻ thật là tôi cũng có một đứa cháu ruột Hiện tại cũng đang học cùng lực với con gái của tôi Nhưng bàn cháu ruột của tôi thì có học lực chỉ ở mức độ trúng mình thôi,10.398,11.252,1.0821,qualcomm-whisper-large-v3-turbo,0.14285714285714285,0.05084745762711865
637,"Thì bây giờ rất là băn khoăn Sợ là cháu sẽ khó được một tấm vé đặt chân vào trường công lập Mà khi chia sẻ với tất cả mọi người là nếu như vào học mà học ở trường dân lập thì ta không nói cái môi trường, ta không chê trường nào cả Cũng là cái trường cấp ba trong thành phố Vinh cả thôi","Bây giờ rất là bán khoán, trừ là cháu sẽ khó được một tấm vẽ và đặt chấn vào trường Công Lập. Mà khi chia sẻ với tất cả mọi người là nếu như vào học mà học ở trường Dân Lập thì ta không nói với mối trường, ta không chế trường nào cả, cũng là cái trường cấp 3 trong thành phố Vĩnh cả thôi.",13.691,25.322,1.8495,qualcomm-whisper-large-v3-turbo,0.1791044776119403,0.07394366197183098
638,"Nhưng mà muốn nói rằng là để ở cái môi trường á thì tất nhiên là phụ huynh ở trong thành phố Vinh cũng như cá nhân tôi, tôi vẫn muốn là các con và các cháu của mình và tất cả các bạn học sinh là có cái học lực khá và ngoan thì được đặt chân vào cái môi trường là công lập","Nhưng mà muốn nói rằng là để ở cái mối trường thì tất nhiên là Phù Vĩnh ở trong thành phố Vĩnh. Cùng như cả nhân tôi, tôi vẫn muốn là cả con và các cháu của mình và tất cả các bạn học chính là có cái học lực khá và ngoan thì được đặt chấn vào cái mối trường là công lập.",12.545,12.092,0.9639,qualcomm-whisper-large-v3-turbo,0.16923076923076924,0.06296296296296296
639,Cho đến thời điểm này chúng tôi thật sự thấy là may mắn đấy. Bởi vì khi đó là vợ chồng trẻ vừa mới sinh con cũng không đủ điều kiện để mà mua đất mua nhà. Dự án nhà ở xã hội đã cho chúng tôi một cơ hội có chỗ ở.,"Cho đến thời điểm này chúng tôi thật sự thấy là may mắn đấy, bởi vì khi đó là vừa trông trẻ vừa mới sinh con cũng không đủ điều kiện để mà mua đất mua nhà. Dự án nhà ở xã hội đã cho chúng tôi một cơ hội có chỗ ở.",15.5,12.754,0.8228,qualcomm-whisper-large-v3-turbo,0.03773584905660377,0.02403846153846154
640,"Không chỉ là ở các cái thành phố lớn thì mới có, mà ở ngay tại thành phố Vinh này thì cái văn hóa phố đi bộ sẽ giúp cho mọi người có thể là lại gần nhau hơn.","Không chỉ ở các thành phố lớn thì mới có, mà ở thành phố Vinh này thì văn hóa phố đi bộ sẽ giúp cho mọi người có thể lại gần nhau hơn.",10.5,11.425,1.0881,qualcomm-whisper-large-v3-turbo,0.15384615384615385,0.14838709677419354
641,"Từ cái khâu mà lựa chọn cái đơn vị tư vấn tổ chức đấu thầu cũng như đến cái vấn đề giám sát trong cuộc đấu giá, tránh cái tình trạng là thông đồng giá, cũng như là tình trạng làm các cái cò đất, làm nhũng loạn thị trường giá, thông báo rộng rãi trước toàn thể người dân cũng như hệ thống thông tin đại chúng để người dân nắm được, có nhu cầu tham gia các cái cuộc đấu giá.","Từ khấu lựa chọn đơn vị tư vấn tổ chức đầu thâu, đến vấn đề giảm sát trong cuộc đầu giả, tránh tình trạng thông đông giả, tình trạng làm các con đất nhuận loàn thị trường giả, thông báo rộng rài trước toàn thể người dân, hệ thống thông tin để người dân nắm được, có nhu cầu tham gia cuộc đầu giả.",24.3,15.171,0.6243,qualcomm-whisper-large-v3-turbo,0.40963855421686746,0.25956284153005466
642,"Khu đô thị Hải Vân này á thì được chủ đầu tư đầu tư rất bài bản về hạ tầng Trong đó ví dụ như hạ tầng giao thông, hệ thống cấp nước và hệ thống thoát nước đã được làm hoàn chỉnh Cư dân mà mua sản phẩm đất ở đây thì không phải chờ đợi lâu thì được cấp giấy chứng nhận quyền sử dụng đất cho khách hàng luôn","Khu đô thị Hải Văn này được chủ đầu tư rất bài bản về hà tầng, trong đó ví dụ như là hà tầng giáo thông, hệ thống cấp nước và hệ thống thoạt nước đã được làm hoàn chỉnh. Cư dân mà mua sản phẩm đất ở đấy thì không phải chờ đợi lâu, thì được cấp giải dựng nhân quyên trung đất cho khách hàng luôn ạ.",16.7,14.538,0.8705,qualcomm-whisper-large-v3-turbo,0.25,0.1188118811881188
643,"Từ năm một nghìn chín trăm chín mươi mốt, gia đình tôi là kinh doanh đồ nhựa đầu tiên. Sau đó và, sau đó dần dần thì là hướng dẫn các cái hộ kinh doanh gần gần ở đây và tạo điều kiện cho các cái hộ kinh doanh lấy hàng về bán. Sau quá trình lấy hàng về bán thì một thời gian mọi người bắt đầu chuyên môn dần ra. Có người kinh doanh đồ nhựa, có người kinh doanh đồ nội thất, có người kinh doanh đồ chăn ga gối đệm. Và cứ dần dần như thế và cho đến tận bây giờ cũng được gần ba mươi năm rồi.",Từ năm mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mùa mù,27.5,18.005,0.6547,qualcomm-whisper-large-v3-turbo,0.9823008849557522,0.7974947807933194
644,Tôi chọn những cái cửa hàng ở đây là thấy các cái mặt hàng kinh doanh rất là nhiều. Cái thứ hai nữa là các cái mẫu mã khác nhau. Cái thứ ba nữa là cái chính sách bảo hành thì rất là tốt.,Tôi chọn những cửa hàng ở đấy là thấy mặt hàng kinh doanh rất là nhiều. Thứ hai nữa là các màu mạc khác nhau. Thứ ba nữa là chính sách bảo hành rất là tốt.,15.3,11.926,0.7795,qualcomm-whisper-large-v3-turbo,0.25,0.19672131147540983
645,"Đây là cái xu hướng tất yếu và phù hợp với cái xu thế là phát triển của kinh tế thị trường và tốc độ phát triển kinh tế xã hội của tỉnh nghệ an các địa phương để rà soát, xây dựng các quy hoạch định hướng phát triển hệ thống hạ tầng thương mại dịch vụ.","Đây là chú hưởng tất yếu và phù hợp với chú thể phát triển của kinh tế thị trường và tốc độ phát triển kinh tế sâu của tỉnh, các địa phương ra soát, xây dựng các quy hoạch đình hướng phát triển hệ thống hóa thân thương mại dịch vụ.",17.835,13.699,0.7681,qualcomm-whisper-large-v3-turbo,0.27586206896551724,0.156
